device,fullVisitorId,visitId,transactions,revenue_usd
desktop,868383912397841864,1485786629,1,79.96
desktop,5818907015155531907,1485363477,1,79.8
desktop,0054279989591037024,1485026562,1,79.19
desktop,5302571039827656728,1484065856,1,79.19
desktop,6855059626391376341,1484253715,1,79.17
desktop,7696973731640073168,1484349592,1,77.53
desktop,7742753003683875687,1483554567,1,76.78
desktop,2003564080152950767,1485808664,1,76.76
desktop,5309710556175093157,1484836978,1,75.96
desktop,514517908760071241,1485384182,1,75.95
desktop,3554960621245001989,1483588653,1,75.18
desktop,3725836239165941255,1483329849,1,75.18
desktop,274035778263408429,1483311416,1,75.18
desktop,2564270479700333184,1484919605,1,75.17
desktop,4058506374393507952,1483998361,1,74.99
desktop,9049250229691904708,1485280054,1,74.99
desktop,5857188717292018913,1484958180,1,74.99
desktop,6824514473807635978,1485897475,1,74.96
desktop,8376588599505232518,1484891409,1,74.35
desktop,330289116549575054,1484232693,1,73.58
desktop,9432393275834688713,1484266115,1,73.52
desktop,4888401942405274345,1484863651,1,71.97
desktop,9079614112770240084,1484676704,1,71.94
desktop,5609394618521393122,1485798388,1,71.8
desktop,9056182171688831716,1483729419,1,71.57
desktop,3322420343273401546,1483986560,1,71.09
desktop,8031899498943781745,1483753716,1,70.92
desktop,1331759169231440812,1485731401,1,70.39
desktop,963126344221316701,1483552674,1,69.39
desktop,480683872448243932,1485881531,1,68.77
desktop,4475085991365888558,1485293920,1,67.14
desktop,6526021164670173680,1485832264,1,66.93
desktop,372706149688864468,1484326485,1,64.78
desktop,3674071642665354067,1485910988,1,64.77
desktop,7488710348710523001,1485480993,1,64.7
desktop,5467849241888825970,1484085798,1,62.97
desktop,2926339495422227598,1483484831,1,61.96
desktop,8092136662808852323,1485377642,1,61.38
desktop,6514103813474537949,1485906172,1,60.78
desktop,803888563485194008,1483989737,1,59.99
desktop,4734664452187566278,1485821417,1,59.99
desktop,9323069406687793647,1485554450,1,59.99
desktop,7813149961404844386,1484170311,1,59.99
desktop,8885678008062348404,1483379496,1,59.99
desktop,5414778440969335716,1484592272,1,59.99
desktop,6214747534469142657,1483459696,1,59.99
desktop,3424108581759376667,1483718878,1,59.99
desktop,5084365397599422550,1485113454,1,59.98
desktop,04638983005167591,1483781165,1,59.96
desktop,3389857819205176144,1484671845,1,59.54
desktop,0027729301290398668,1484712595,1,59.17
desktop,8343235523660453315,1484834745,1,58.35
desktop,0044869357011346837,1483802210,1,57.97
desktop,6388824250276633832,1485474460,1,57.57
desktop,7035655888631728269,1483918447,1,57.56
desktop,3871891696772635172,1483925723,1,57.36
desktop,1029117971501759934,1483463140,1,56.69
desktop,6841461972455474576,1485892514,1,56.0
desktop,5206644155829437888,1485823342,1,55.99
desktop,0869298894715045644,1485391219,1,55.99
desktop,6897167392084877746,1485383389,1,55.99
desktop,5077243893642022050,1483672497,1,55.99
desktop,8580690454272378006,1485907349,1,55.99
desktop,5480128586099490735,1485922833,1,55.99
desktop,8722134795757149550,1483325386,1,55.99
desktop,8635761956186400931,1483906872,1,55.99
desktop,0738742613780622904,1484351598,1,55.99
desktop,6702410231065530921,1485015763,1,55.98
desktop,0839560865423027275,1483559151,1,55.16
desktop,7358793687985723141,1484159622,1,55.01
desktop,2553957087129235590,1485445175,1,53.56
desktop,6331108098497207662,1485711548,1,51.99
desktop,4533050097351388791,1484750238,1,51.97
desktop,2592638729105052123,1484339881,1,51.96
desktop,4301598633370091052,1483550577,1,51.89
desktop,9638518335828715596,1483837417,1,51.02
desktop,8452979952112356529,1484398743,1,50.97
desktop,19814677684676098,1484015270,1,50.39
desktop,7112946707690589198,1484668811,1,50.34
desktop,963205524675368812,1483497073,1,50.0
desktop,4391159742781809610,1484034947,1,49.99
desktop,2449425615576273633,1483325141,1,49.96
desktop,2449425615576273633,1483474092,1,49.96
desktop,2411322974724385937,1485530972,1,49.58
desktop,3976271665375481044,1485188795,1,49.58
desktop,5044031393629737352,1485723777,1,48.89
desktop,1325914909641958196,1483772850,1,48.22
desktop,2308970056076735364,1484162912,1,47.97
desktop,4431313163178462684,1483740727,1,47.97
desktop,925490504455490197,1485895836,1,47.9
desktop,4181284744732666111,1485382779,1,47.18
desktop,6908387488019906910,1483559226,1,46.11
desktop,7857488410437380421,1485575531,1,44.97
desktop,8056549664540866656,1484000273,1,44.79
desktop,4738075153873011166,1483990416,1,44.79
desktop,0628736701415781712,1485322773,1,44.79
desktop,4162641733520995374,1485798037,1,44.79
desktop,6214016505412778340,1484766510,1,44.79
desktop,9715798393834232864,1484756318,1,44.79
desktop,391659178324668475,1484749718,2,44.79
desktop,992812962494074450,1483573230,1,44.79
desktop,2375804711007415878,1484680776,1,44.79
desktop,7813149961404844386,1485535638,1,44.79
desktop,698616970895406010,1485541065,1,44.79
desktop,4353270075467470044,1485364853,1,44.79
desktop,5888716568893996188,1485374097,1,44.79
desktop,6347736525399420278,1483662404,1,44.79
desktop,6258496391273943408,1484192802,1,44.79
desktop,7517997316226476864,1483422961,1,44.79
desktop,9523142287027067833,1483415431,1,44.79
desktop,7813149961404844386,1484246986,1,44.79
desktop,3080209354082466305,1484259954,1,44.79
desktop,2923583380085498492,1485467793,1,44.79
